City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
117,Georgetown,5.4112,100.3354,82.33,81,20,3.44,MY,haze
118,Pombas,17.1503,-25.0201,69.58,77,11,10.92,CV,few clouds
119,Yulara,-25.2406,130.9889,94.84,36,100,12.66,AU,overcast clouds
120,Pa Sang,18.5262,98.9394,77.13,52,0,0.65,TH,clear sky
121,Zhigansk,66.7697,123.3711,-13.31,98,97,8.19,RU,overcast clouds
122,Shashi,30.3072,112.2447,36.72,97,100,8.39,CN,light rain
123,Cape Town,-33.9258,18.4232,66.61,80,0,5.99,ZA,clear sky
124,Talnakh,69.4865,88.3972,1.2,95,94,12.75,RU,overcast clouds
125,Mount Gambier,-37.8333,140.7667,84.11,37,75,17.27,AU,broken clouds
126,Saint-Philippe,-21.3585,55.7679,72.99,67,97,10.67,RE,overcast clouds
127,Slave Lake,55.2834,-114.769,40.98,60,100,28.77,CA,overcast clouds
128,Acapulco,16.8634,-99.8901,78.62,83,40,5.75,MX,scattered clouds
129,Duvan,55.695,57.9024,-2.79,99,43,3.8,RU,scattered clouds
130,Villa Carlos Paz,-31.4241,-64.4978,75.06,43,65,1.99,AR,broken clouds
131,Port Alfred,-33.5906,26.891,71.87,86,100,11.07,ZA,light rain
132,Tasiilaq,65.6145,-37.6368,15.96,71,17,7.27,GL,few clouds
133,Lebu,-37.6167,-73.65,57.76,89,1,15.3,CL,clear sky
134,Bamako,12.65,-8.0,68.41,19,33,6.91,ML,scattered clouds
135,Deputatskiy,69.3,139.9,-31.47,100,35,5.48,RU,scattered clouds
136,Kuryk,43.2,51.65,37.74,85,52,4.9,KZ,broken clouds
137,Chuy,-33.6971,-53.4616,74.64,95,100,4.29,UY,moderate rain
138,Torbay,47.6666,-52.7314,27.57,89,75,4.61,CA,broken clouds
139,Darhan,49.4867,105.9228,-7.15,95,13,4.81,MN,few clouds
140,Saint-Augustin,51.226,-58.6502,6.24,96,99,6.76,CA,light snow
141,Esperance,-33.8667,121.9,69.64,75,89,13.33,AU,overcast clouds
142,Jalu,29.0331,21.5482,43.95,69,5,17.92,LY,clear sky
143,Kodiak,57.79,-152.4072,29.71,59,0,5.75,US,clear sky
144,Guerrero Negro,27.9769,-114.0611,61.5,65,100,9.01,MX,overcast clouds
145,Mlonggo,-6.5333,110.7,78.69,81,100,13.38,ID,moderate rain
146,Bintulu,3.1667,113.0333,82.81,78,40,0.0,MY,scattered clouds
147,Maymyo,22.0333,96.4667,52.97,72,98,1.05,MM,overcast clouds
148,Vostok,46.4856,135.8833,10.36,87,100,2.53,RU,overcast clouds
149,Asau,46.4333,26.4,24.28,77,94,7.7,RO,overcast clouds
150,Sola,-13.8833,167.55,81.7,80,98,15.82,VU,light rain
151,Puertollano,38.6871,-4.1073,37.18,90,18,4.54,ES,few clouds
152,Zhangjiakou,40.81,114.8794,14.94,59,100,4.21,CN,overcast clouds
153,Hokitika,-42.7167,170.9667,65.37,68,9,14.09,NZ,clear sky
154,Noumea,-22.2763,166.4572,85.98,99,85,10.83,NC,overcast clouds
155,Nuuk,64.1835,-51.7216,21.81,79,100,9.22,GL,light snow
156,Mattru,7.6244,-11.8332,69.73,92,2,0.49,SL,clear sky
157,Lyuban,52.7985,28.0048,22.8,96,86,8.08,BY,overcast clouds
158,Butaritari,3.0707,172.7902,82.15,79,42,16.58,KI,scattered clouds
159,Caravelas,-17.7125,-39.2481,76.78,84,100,7.99,BR,overcast clouds
160,Ylojarvi,61.5563,23.5961,20.95,96,0,3.44,FI,clear sky
161,Akyab,20.15,92.9,71.8,72,67,6.02,MM,broken clouds
162,Tyumentsevo,53.3224,81.498,6.08,95,100,11.88,RU,snow
163,Andapa,-14.65,49.65,66.65,96,100,3.13,MG,overcast clouds
164,Port Elizabeth,-33.918,25.5701,69.1,83,100,10.36,ZA,overcast clouds
165,Kizilskoye,52.7255,58.8937,-2.29,96,41,3.24,RU,scattered clouds
166,Port Lincoln,-34.7333,135.8667,74.68,76,80,6.91,AU,broken clouds
167,Burns Lake,54.2331,-125.7533,18.82,99,57,2.62,CA,broken clouds
168,Ossora,59.2353,163.0719,0.52,91,100,8.77,RU,light snow
169,Monrovia,6.3005,-10.7969,77.72,83,0,5.17,LR,clear sky
170,Chaman,30.9236,66.4512,35.1,44,0,1.59,PK,clear sky
171,Hualmay,-11.0964,-77.6139,70.74,85,14,7.47,PE,few clouds
172,Kyra,49.5776,111.9753,-1.98,83,34,4.34,RU,scattered clouds
173,Mgandu,-5.95,34.1333,60.87,92,86,2.13,TZ,light rain
174,Xai-Xai,-25.0519,33.6442,77.49,90,100,11.97,MZ,light rain
175,Vestmannaeyjar,63.4427,-20.2734,35.91,67,100,9.42,IS,overcast clouds
176,Faya,18.3851,42.4509,50.11,84,18,2.66,SA,few clouds
177,Singaraja,-8.112,115.0882,86.97,75,81,5.97,ID,broken clouds
178,Upernavik,72.7868,-56.1549,0.34,95,98,7.81,GL,overcast clouds
179,Toowoomba,-27.55,151.9667,70.25,85,100,3.6,AU,light rain
180,Bathsheba,13.2167,-59.5167,76.86,77,5,17.38,BB,clear sky
181,Palana,59.1167,159.9667,-4.05,86,100,6.89,RU,overcast clouds
182,Grand-Lahou,5.1367,-5.0242,75.83,84,1,2.86,CI,clear sky
183,Port Moresby,-9.4431,147.1797,90.82,62,40,11.5,PG,haze
184,Boguchany,58.3814,97.4531,-7.55,100,91,2.17,RU,overcast clouds
185,Fortuna,40.5982,-124.1573,45.09,91,4,1.01,US,clear sky
186,Gat,31.61,34.7642,49.91,100,14,10.69,IL,few clouds
187,Bluff,-46.6,168.3333,53.08,83,98,18.07,NZ,overcast clouds
188,Kagadi,0.9606,30.7967,62.19,63,75,2.26,UG,broken clouds
189,Bambous Virieux,-20.3428,57.7575,73.22,70,30,14.43,MU,scattered clouds
190,Ambon,-3.6954,128.1814,91.54,55,20,10.36,ID,few clouds
191,Bandarbeyla,9.4942,50.8122,72.41,67,6,16.35,SO,clear sky
192,Dunedin,-45.8742,170.5036,55.8,92,100,10.0,NZ,overcast clouds
193,Bauchi,10.5,10.0,57.0,25,50,5.99,NG,scattered clouds
194,Madaoua,14.073,5.96,58.39,19,0,14.45,NE,clear sky
195,Minab,27.1467,57.0801,50.32,93,0,0.0,IR,mist
196,Damaturu,11.747,11.9608,59.61,23,39,10.02,NG,scattered clouds
197,Sorland,67.667,12.6934,37.15,97,100,28.99,NO,overcast clouds
198,Cidreira,-30.1811,-50.2056,77.52,87,87,18.54,BR,overcast clouds
199,Greer,34.9387,-82.2271,51.55,72,0,3.0,US,clear sky
200,Neuquen,-38.9516,-68.0591,78.69,57,0,8.05,AR,clear sky
201,Pangody,65.85,74.4859,4.28,94,100,19.77,RU,overcast clouds
202,Nome,64.5011,-165.4064,-9.33,77,20,0.0,US,few clouds
203,Santa Fe,-31.6333,-60.7,78.03,91,100,4.0,AR,overcast clouds
204,Moose Factory,51.2585,-80.6094,-20.2,69,0,8.05,CA,clear sky
205,Cedar City,37.6775,-113.0619,27.57,74,100,12.66,US,overcast clouds
206,Muroto,33.2833,134.15,57.24,58,4,8.66,JP,clear sky
207,Broken Hill,-31.95,141.4333,89.08,36,18,4.79,AU,few clouds
208,Anadyr,64.75,177.4833,-19.7,76,0,0.0,RU,clear sky
209,Kaitangata,-46.2817,169.8464,57.92,76,100,5.28,NZ,overcast clouds
210,Wamba,8.9333,8.6,67.84,19,10,4.14,NG,clear sky
211,Virginia Beach,36.8529,-75.978,43.02,76,40,6.91,US,scattered clouds
212,Faanui,-16.4833,-151.75,81.07,76,85,13.38,PF,light rain
213,Great Bend,38.3645,-98.7648,21.25,86,75,5.75,US,broken clouds
214,Garissa,-0.4536,39.6401,73.51,81,10,6.08,KE,clear sky
215,Port Blair,11.6667,92.75,82.44,65,20,6.91,IN,few clouds
216,Fairbanks,64.8378,-147.7164,17.94,74,20,5.75,US,few clouds
217,Waipawa,-41.4122,175.5153,70.43,55,79,7.02,NZ,broken clouds
218,Ust-Tsilma,65.441,52.1498,19.56,94,100,7.34,RU,overcast clouds
219,Pitkyaranta,61.5734,31.4792,7.72,100,86,3.38,RU,overcast clouds
220,Riviera Beach,26.7753,-80.0581,71.62,83,75,5.01,US,broken clouds
221,Urumqi,43.801,87.6005,4.15,85,75,4.47,CN,mist
222,Sri Aman,1.2376,111.4621,80.65,89,20,0.0,MY,few clouds
223,Misratah,32.3754,15.0925,52.25,51,100,10.04,LY,overcast clouds
224,Vytegra,61.0064,36.4481,-1.5,100,100,2.64,RU,overcast clouds
225,Zhuhai,22.2769,113.5678,70.72,88,40,5.75,CN,scattered clouds
226,Santiago Del Estero,-27.7951,-64.2615,82.87,69,100,5.86,AR,overcast clouds
227,Narsaq,60.9167,-46.05,26.82,91,100,9.91,GL,light snow
228,Jiwani,25.05,61.7417,66.13,30,0,3.98,PK,clear sky
229,Mujiayingzi,42.1167,118.7833,14.34,43,52,7.63,CN,broken clouds
230,Ceuta,35.8903,-5.3075,59.11,83,91,29.26,ES,overcast clouds
231,Pierre,44.3683,-100.351,10.27,51,0,5.99,US,clear sky
232,Lincoln,40.8,-96.667,17.17,59,0,3.44,US,clear sky
233,Luau,-10.7073,22.2247,63.03,97,100,2.46,AO,overcast clouds
234,Alofi,-19.0595,-169.9187,78.69,89,12,10.36,NU,few clouds
235,Porbandar,21.6422,69.6093,53.58,76,0,0.0,IN,haze
236,Boddam,57.4667,-1.7833,48.38,83,100,11.18,GB,overcast clouds
237,Dingle,10.9995,122.6711,81.63,81,99,13.6,PH,overcast clouds
238,Bagan,54.1001,77.6646,12.96,96,100,4.43,RU,light snow
239,Meulaboh,4.1363,96.1285,79.57,78,87,2.3,ID,overcast clouds
240,Castro,-24.7911,-50.0119,64.83,79,5,4.29,BR,clear sky
241,Isangel,-19.55,169.2667,85.96,70,14,4.9,VU,light rain
242,Sechura,-5.5569,-80.8222,74.07,71,86,12.57,PE,overcast clouds
243,Albion,42.2431,-84.753,16.2,78,100,6.91,US,overcast clouds
244,Boa Vista,2.8197,-60.6733,84.18,61,40,12.66,BR,scattered clouds
245,Ulladulla,-35.35,150.4667,81.77,68,100,8.59,AU,overcast clouds
246,Nahrin,36.0649,69.1334,29.93,42,0,7.52,AF,clear sky
247,Padang,-0.9492,100.3543,80.65,82,100,3.87,ID,overcast clouds
248,Aksu,41.1231,80.2644,20.07,66,29,2.28,CN,scattered clouds
249,Inirida,3.8653,-67.9239,77.58,83,100,2.77,CO,moderate rain
250,Vila Franca Do Campo,37.7167,-25.4333,58.19,80,96,8.23,PT,overcast clouds
251,Berlevag,70.8578,29.0864,31.24,66,100,26.96,NO,light snow
252,Zyryanka,65.75,150.85,-32.26,98,84,6.13,RU,broken clouds
253,Severo-Kurilsk,50.6789,156.125,26.73,55,39,7.0,RU,scattered clouds
254,Seoni Malwa,22.45,77.4667,48.16,62,0,4.63,IN,clear sky
255,Cozumel,20.5083,-86.9458,77.11,89,0,1.01,MX,clear sky
256,Hovd,48.0056,91.6419,-11.29,75,3,3.67,MN,clear sky
257,Sakakah,29.9697,40.2064,38.77,46,0,5.06,SA,clear sky
258,San Andres,12.5847,-81.7006,80.62,74,75,4.61,CO,broken clouds
259,Vanimo,-2.6741,141.3028,85.48,67,63,4.99,PG,broken clouds
260,Keti Bandar,24.1447,67.4497,63.52,51,0,5.79,PK,clear sky
261,Manakara,-22.1333,48.0167,70.18,82,58,2.64,MG,broken clouds
262,Klaksvik,62.2266,-6.589,41.92,75,79,46.15,FO,broken clouds
263,Sinnamary,5.3833,-52.95,76.23,87,71,9.06,GF,broken clouds
264,Iranshahr,27.2025,60.6848,44.94,57,0,6.91,IR,clear sky
265,La Ronge,55.1001,-105.2842,12.45,85,100,9.22,CA,snow
266,Sobolevo,54.4299,31.8996,26.78,82,100,10.22,RU,overcast clouds
267,Tolaga Bay,-38.3667,178.3,79.07,51,68,4.54,NZ,broken clouds
268,Baruun-Urt,46.6806,113.2792,-3.32,86,6,5.57,MN,clear sky
269,Mayor Pablo Lagerenza,-19.9309,-60.7718,88.21,40,78,8.88,PY,broken clouds
270,Lugovoy,42.9472,72.7644,24.39,50,3,5.93,KZ,clear sky
271,Sisimiut,66.9395,-53.6735,14.16,70,100,20.71,GL,overcast clouds
272,Lithakia,37.7167,20.8333,36.59,47,1,4.99,GR,clear sky
273,Khandyga,62.6667,135.6,-25.24,96,100,1.92,RU,overcast clouds
274,Coquimbo,-29.9533,-71.3436,60.53,82,0,3.44,CL,clear sky
275,Poli,-3.3333,36.8,59.52,63,44,5.08,TZ,scattered clouds
276,Lagoa,39.05,-27.9833,58.6,82,100,8.7,PT,overcast clouds
277,Korhogo,9.45,-5.6333,68.43,16,27,5.91,CI,scattered clouds
278,Verkhoyansk,67.5447,133.385,-16.94,100,100,1.95,RU,overcast clouds
279,Turukhansk,65.8167,87.9833,-17.52,100,92,6.44,RU,overcast clouds
280,Santa Rosa,14.3122,121.1114,84.18,73,100,11.34,PH,overcast clouds
281,Divnomorskoye,44.5011,38.1353,32.45,78,100,2.53,RU,overcast clouds
282,Ormara,25.2088,64.6357,65.03,27,0,10.8,PK,clear sky
283,Luanda,-8.8368,13.2343,77.0,83,75,3.44,AO,broken clouds
284,Coolum Beach,-26.5333,153.1,83.34,82,94,4.38,AU,light rain
285,Natalio,-26.7167,-55.0833,74.05,91,52,4.68,PY,light rain
286,Nikolskoye,59.7035,30.7861,15.69,100,78,2.64,RU,broken clouds
287,Constitucion,-35.3333,-72.4167,56.46,93,2,8.01,CL,clear sky
288,Klyuchi,52.2667,79.1667,10.45,94,100,11.39,RU,light snow
289,Nanortalik,60.1432,-45.2371,26.67,94,100,7.05,GL,light snow
290,Lima,-12.0432,-77.0282,72.9,72,40,13.8,PE,scattered clouds
291,Mahebourg,-20.4081,57.7,75.49,73,40,5.75,MU,scattered clouds
292,Milkovo,54.7167,158.6167,-0.58,91,90,0.83,RU,overcast clouds
293,Yatou,37.15,122.3833,37.22,50,12,11.27,CN,few clouds
294,Naze,28.3667,129.4833,63.52,63,35,10.94,JP,scattered clouds
295,Manaure,11.7751,-72.4445,77.29,79,97,16.69,CO,overcast clouds
296,San Patricio,28.017,-97.5169,57.29,79,0,11.95,US,clear sky
297,Iqaluit,63.7506,-68.5145,-24.07,69,75,0.0,CA,broken clouds
298,Nikolayevsk-Na-Amure,53.1406,140.73,3.16,90,52,4.85,RU,broken clouds
299,Nadym,65.5333,72.5167,8.02,93,100,21.94,RU,overcast clouds
300,Dalnerechensk,45.9339,133.7225,5.13,90,89,2.98,RU,overcast clouds
301,Nyuksenitsa,60.4128,44.2397,15.6,96,100,3.96,RU,light snow
302,Sfantu Gheorghe,45.8667,25.7833,20.93,97,100,2.15,RO,light snow
303,Palafrugell,41.9174,3.1631,39.34,74,0,4.38,ES,clear sky
304,Bilibino,68.0546,166.4372,-38.07,96,48,2.91,RU,scattered clouds
305,Beringovskiy,63.05,179.3167,-21.37,92,41,1.01,RU,scattered clouds
306,Kaeo,-35.1,173.7833,77.32,90,3,10.63,NZ,clear sky
307,Thinadhoo,0.5333,72.9333,80.71,66,98,14.74,MV,overcast clouds
308,Mersing,2.4312,103.8405,80.51,83,40,2.3,MY,scattered clouds
309,Qaanaaq,77.484,-69.3632,-11.11,58,9,7.47,GL,clear sky
310,Quatre Cocos,-20.2078,57.7625,75.31,71,17,15.1,MU,few clouds
311,Cabo San Lucas,22.8909,-109.9124,69.51,50,40,1.99,MX,scattered clouds
312,Trairi,-3.2778,-39.2689,80.38,76,99,9.19,BR,overcast clouds
313,Kailua,21.4022,-157.7394,80.58,72,0,12.66,US,clear sky
314,De Aar,-30.6497,24.0123,71.47,55,3,5.91,ZA,clear sky
315,Otsuchi,39.3667,141.9,32.95,56,100,1.72,JP,overcast clouds
316,Matara,5.9485,80.5353,72.97,83,79,5.53,LK,broken clouds
317,Mushie,-3.0167,16.9,72.9,87,100,3.27,CD,overcast clouds
318,Nhulunbuy,-12.2333,136.7667,83.01,83,75,14.97,AU,light rain
319,Okhotsk,59.3833,143.3,-2.88,93,100,8.32,RU,overcast clouds
320,Havelock,34.8791,-76.9013,50.94,88,100,0.0,US,overcast clouds
321,Paamiut,61.994,-49.6678,20.08,82,100,5.17,GL,overcast clouds
322,Vila Velha,-20.3297,-40.2925,75.15,93,20,4.61,BR,few clouds
323,Provideniya,64.3833,-173.3,-6.65,59,20,4.47,RU,few clouds
324,Pacific Grove,36.6177,-121.9166,57.27,87,20,3.0,US,few clouds
325,Lovozero,68.005,35.0117,13.64,84,19,10.11,RU,few clouds
326,Hirara,24.8,125.2833,73.67,64,40,11.5,JP,scattered clouds
327,Sumbe,-11.2061,13.8437,75.69,90,100,3.89,AO,light rain
328,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.99,57,0,8.95,RU,clear sky
329,Tumaco,1.7986,-78.8156,75.49,85,100,4.54,CO,overcast clouds
330,Kungalv,57.871,11.9805,42.19,96,100,1.01,SE,overcast clouds
331,Harper,4.375,-7.7169,77.92,85,0,4.59,LR,clear sky
332,Cherskiy,68.75,161.3,-42.3,99,71,5.12,RU,broken clouds
333,Olinda,-8.0089,-34.8553,82.13,74,75,6.91,BR,broken clouds
334,Hofn,64.2539,-15.2082,33.26,55,15,15.79,IS,few clouds
335,Arlit,18.7369,7.3853,56.44,21,59,6.71,NE,broken clouds
336,Nieves,15.3274,120.9485,83.57,58,76,5.41,PH,broken clouds
337,Eureka,40.8021,-124.1637,45.36,91,5,1.99,US,clear sky
338,Omboue,-1.5746,9.2618,75.72,91,70,5.19,GA,broken clouds
339,Urubicha,-15.3833,-62.95,78.91,73,94,2.42,BO,overcast clouds
340,Bhongir,17.5108,78.8889,64.58,54,2,6.38,IN,clear sky
341,Lodwar,3.1191,35.5973,80.69,36,2,6.4,KE,clear sky
342,Krasnaya Gora,52.9995,31.6023,22.91,97,97,6.98,RU,overcast clouds
343,Balkhash,46.844,74.9804,0.21,92,40,6.71,KZ,mist
344,Ponta Delgada,37.7333,-25.6667,58.5,94,75,4.61,PT,broken clouds
345,Agua Dulce,18.1333,-94.1333,72.32,90,23,10.89,MX,few clouds
346,Byron Bay,-28.65,153.6167,77.11,83,99,5.39,AU,overcast clouds
347,Augusto Correa,-1.0217,-46.635,75.42,92,77,3.65,BR,broken clouds
